id,title,employer,salary,gender,years_exp,Location,duties,comments,employer_clean,base_salary_clean,sal_flag,years_exp_clean,location_clean,title_category,geonix
1,Editor-in-Chief,A Canadian sports magazine,"$63,000 (CAD)",CIS white male,7,Toronto,"Oversight of print and digital (including site, social, video, podcasts); management of a small staff of writers and producers.","I believe starting salary was $50,000 (CAD)",A Canadian sports magazine,,x,7,Toronto,Editor in Chief,
6,Data Reporter,Advance,"$75,000 ",cis-het white male,15,NJ,"Regular original content, major projects, editing, newsroom training, mentorship, collaboration with beat reporters on graphics,",Started at $36K 10 years ago. 3-4 raises over the decade.,Advance Local,75000,,15,"Woodbridge, NJ",Data Reporter,
7,Reporter,Advance,"$43,000 ",cis white male,3,NJ,,$33/hr as NY intern; $12/hr at internship in different city,Advance Local,43000,,3,"Woodbridge, NJ",Reporter,
9,Reporter,Advance Local,"$37,500 ",Cis female / white,1,Michigan,"Beat reporting, writing",N/A,Advance Local,37500,,1,Michigan,Reporter,
10,Reporter,Advance Local,"58,000",Latina cis female,3,NJ/NYC Metro area,"Beat reporting and writing, enterprise stories, social media.","Three raises since hired after intership at 40,000. Intern at Advance Local about 12/hour with overtime. Intern at WNBC 10.50/hour",Advance Local,58000,,3,NJ,Reporter,
12,Reporter,Advance Local Media,"$49,000 ",Cis-het white female,15,Michigan,"Reporting, writing, editing own stories","Assistant editor at a regional magazine: $30,000
Web editor at a national magazine: $40,000",Advance Local,49000,,15,Michigan,Reporter,
13,Senior producer,AJ+,85000,,10,California,,,AJ+,85000,,10,California,Senior Producer,
14,Head of Engagement/Staffing,Alpha Creek Studio inc.,175k yr,Male,4,Florida,"To provide, staff, and oversee Journalist to multiple articles given by third party company for small to large projects",50k/Journalist/George,Alpha Creek Studio inc.,175000,,4,Florida,Manager,
15,Staff Writer,Alt Weekly,"$40,000 ",Cis white woman,7,Wisconsin,"News and features. Music and restaurant reviews. Frequently took my own photos. Helped with production (proofing, copy editing, writing cutlines). Weekly pitch meeting. Required to volunteer at company events.","Started position at $37,000, got one (1) raise after a year. No retirement. Previously on staff at a daily; started at $9.50/hour (with LOTS of unpaid overtime), eventually got bumped to like $14/hour. Had retirement match. God this industry blows lol",Alt weekly,40000,,7,Wisconsin,Reporter,
16,Online Engagement Manager,Alt weekly,"65,000",white female,2,"Washington, D.C.","manage social media, newsletter engagement, digital marketing",,Alt weekly,65000,,2,"Washington, D.C.",Manager,
17,Copy Editor,Alt-Weekly,$250/week,F/W,12,Alabama,Copy editor,,Alt weekly,,x,12,Alabama,Copy Editor,
18,Reporter,American City Business Journals,"56,000",cis poc male,3,DC,writer,local reporter,American City Business Journals,56000,,3,"Washington, D.C.",Reporter,
21,Digital editor,amNewYork,"$56,000 ",Woman/white,8,New York City,"Report, write, edit, run website, schedule all social, posts and curate and send the daily newsletter","$54,000/things to do manager and $50,000 reporter",amNewYork,56000,,8,New York City,Editor,
22,Editor,APG Media of Chesapeake,"$45,000 ","Male, white, not Hispanic",10,Maryland’s Eastern Shore,"Managed reporters, assigned stories, edited stories and proofed pages",,APG Media of Chesapeake,45000,,10,Maryland,Editor,
24,Managing Editor,"Association of Health Care Journalists (please note that the already-listed ""digital coordinator"" is not a position that exists with AHCJ.)","$52,000 ",Cis female,20,California,"Manage website content, including daily updates; supervise nine freelance journalists; assign and edit pieces about health care; compile daily enewsletter; engage with members on social media; track website traffic and interest via metrics; produce conference programs and other printed material.","$33,000/publication coordinator/IRE & NICAR; $38,000/online producer/Sun-Sentinel","Association of Health Care Journalists (please note that the already-listed ""digital coordinator"" is not a position that exists with AHCJ.)",52000,,20,California - work remotely,Managing Editor,
25,Reporter,Baltimore Sun Media Group/Tribune,"$35,000 ",Cis-het white female,2,"Annapolis, Maryland","beat reporter for a daily newspaper, covering city hall, military; currently on a yearlong project w/ ProPublica",N/a,Baltimore Sun Media Group,35000,,2,"Annapolis, Maryland",Reporter,
