Category,Pic_Link,Title,Award,AwdDesc,Description,Link
Editing,https://sstirling.github.io/assets/ice-detention.png,The ICE carousel,,,Analyzing how detainees move through DHS's detention system,https://www.inquirer.com/news/ice-detentions-transfers-immigration-trump-philly-20260319.html
Editing,https://sstirling.github.io/assets/nj-gov-race-1.png,Mikie's big win,,,Analyzing Mikie Sherrill's big win,https://www.inquirer.com/politics/new-jersey/democratic-campaign-camden-nj-mikie-sherrill-blue-wave-20251227.html
Editing,https://sstirling.github.io/assets/dangerous-homes.png,The Danger Next Door,,,Revealing dozens of homes in Philly in danger of collapse,https://www.inquirer.com/real-estate/housing/a/vacant-dangerous-rowhouses-licenses-inspection-data-20251208.html
Editing,https://sstirling.github.io/assets/dog-names.png,Philly Dog Names,,,What's the most popular dog name in Philly?,https://www.inquirer.com/health/pets/inq2/top-dog-names-breeds-philly-20250726.html
Editing,https://sstirling.github.io/assets/gambling.png,Gambling's Wrath,,,What online and sports gambling have wrough,https://www.inquirer.com/business/gambling-online-sports-betting-revenue-addiction-hotline-20251210.html
Editing,https://sstirling.github.io/assets/cat-names.png,Philly Cat Names,,,What are the most popular cat names in Philly?,https://www.inquirer.com/health/pets/inq2/popular-cat-names-philadelphia-acct-20251030.html
Editing,https://sstirling.github.io/assets/pennsylvania-uncorked.png,Pennsylvania Uncorked,https://s3.amazonaws.com/nj-data/img/census-historic/port/award.jpg,🏆: SND; Award of Excellence; 2026,Revealing Pennsylvania's drinking habits,https://www.inquirer.com/food/drink/inq2/pennsylvania-fine-wine-good-spirits-sales-data-uncorked-20250425.html
Editing,https://sstirling.github.io/assets/nj-gov-primary-1.png,NJ Gov. Primary Map,,,Mikie Sherrill's primary performance and where she has work to do.,https://www.inquirer.com/politics/mikie-sherrill-black-hispanic-voters-20250825.html
Editing,https://portfolio-2025.s3.us-east-2.amazonaws.com/editing/img/port.png,Philly's fruit empire,,,Exploring data on produce imported to Philly,https://www.inquirer.com/business/inq2/philadelphia-fresh-fruit-imports-infrastructure-20241214.html
Editing,https://portfolio-2025.s3.us-east-2.amazonaws.com/editing/img/clusters.png,The five groups that win you Pennsylvania,,,Lead editor on series exploring Pennsylvania's electorate during 2024 election cycle.,https://www.inquirer.com/politics/election/inq2/voter-registration-demographics-pennsylvania-democrats-republicans-20240813.html
Editing,https://portfolio-2025.s3.us-east-2.amazonaws.com/editing/img/singlest.png,Philly is the singlest big city in America,,,"Creative, city-specific Census analysis",https://www.inquirer.com/news/philadelphia/inq2/philadelphia-dating-singles-valentines-day-20240214.html
Editing,https://portfolio-2025.s3.us-east-2.amazonaws.com/editing/img/restaurants.png,The Philly restaurant scene is having a moment,,,Creating a dataset out of magazine lists,https://www.inquirer.com/food/inq2/philadelphia-restaurants-award-winners-20240124.html
Editing,https://portfolio-2025.s3.us-east-2.amazonaws.com/editing/img/phillyclusters.png,Democrats are losing working class voters in Philly,,,Lead editor on series exploring Pennsylvania's electorate during 2024 election cycle.,https://www.inquirer.com/politics/election/inq2/philadelphia-working-class-voters-republican-20241001.html
Editing,https://riftmedia.s3.us-east-2.amazonaws.com/img/voting.png,Analyzing fraud and suppression,,,"Supervised analysis of and edited investigation into voter suppression, fraud and the true threats facing an election in uncharted territory.",https://www.usatoday.com/in-depth/news/investigations/2020/10/20/trumps-absentee-ballot-fraud-claims-not-supported-evidence/5969447002/
Editing,https://riftmedia.s3.us-east-2.amazonaws.com/img/clerks.png,The people who make the elections run,,,Edited several pieces of enterprise for Milwaukee Journal Sentinel as part of multi-organization collaboration.,https://www.pbs.org/wgbh/frontline/article/coronavirus-election-wisconsin-clerks-november-ballots/
